Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2018-01-02,42181.90625,42496.07960113681,41983.480975597806,42479.54416160329,8474250
2018-01-03,42677.96484375,43455.130418200315,42512.610466207385,43438.59498044605,10013500
2018-01-04,42231.5078125,43140.956884421495,41867.7281837314,43091.350571407595,11695450
2018-01-05,43091.36328125,43091.36328125,42330.73292402149,42413.41013676372,9481150
2018-01-08,43008.6796875,43422.065689878895,42578.75824502595,43322.85304930796,8383650
2018-01-09,41669.30859375,42760.64762834821,41322.06435546875,42545.6869094122,18013600
2018-01-10,40379.53515625,41768.511795531325,40214.180794430795,41751.976359349406,18566800
2018-01-11,39883.47265625,40726.77991390703,39701.582855578876,39850.40178340071,25123800
2018-01-12,39850.41015625,40081.90631483403,38659.85848353216,39883.48103604772,27270450
2018-01-15,40131.5078125,40495.28744656469,39618.90923722703,40346.46850535641,10096000
2018-01-16,41338.59765625,41454.3457296875,40197.6523609375,40313.400434375,20389650
2018-01-17,41024.42578125,41355.13457432739,40561.43347094166,41355.13457432739,11053050
2018-01-18,41255.9296875,41867.741069639276,41189.78791645791,41355.142344063126,14848850
2018-01-19,40776.39453125,41652.772840315796,40544.89837413828,41652.772840315796,9219950
2018-01-22,39883.47265625,40247.25225759225,39651.97654630493,40214.18138474295,12520900
2018-01-23,40644.1015625,40644.1015625,39933.077816695484,40230.71566377644,13532700
2018-01-24,40792.9296875,41090.567601717674,40148.047540028376,40396.079135209766,9550500
2018-01-25,41553.5625,41636.239703541585,40644.11326104258,40693.71958316753,11160350
2018-01-26,41983.484375,41983.484375,41206.31865399764,41751.98820278653,10350100
2018-01-29,42347.2578125,42562.218512055835,42082.69079766204,42330.722374072626,11838800
2018-01-30,41173.24609375,41867.73458207831,41156.71065355171,41702.38018009538,12284550
2018-01-31,41255.9296875,44761.44355273046,41007.89804609218,41355.142344063126,64681300
2018-02-01,41189.76953125,42132.28934790245,41107.09235435066,41851.1869464447,27609450
2018-02-02,39437.01953125,40842.531757730605,39437.01953125,40825.99631977201,29260350
2018-02-05,39618.9140625,39949.62286101836,38031.51182961185,38444.89782775981,28357900
2018-02-06,39205.53125,39618.91728173766,38511.04271668073,38527.57815795023,19406450
2018-02-07,37866.15234375,39900.0111814274,37866.15234375,39883.47574372271,23448050
