,Close,High,Low,Open,Volume
2018-01-02,42181.90625,42496.0796,41983.48098,42479.54416,8474250
2018-01-03,42677.96484,43455.13042,42512.61047,43438.59498,10013500
2018-01-04,42231.50781,43140.95688,41867.72818,43091.35057,11695450
2018-01-05,43091.36328,43091.36328,42330.73292,42413.41014,9481150
2018-01-08,43008.67969,43422.06569,42578.75825,43322.85305,8383650
2018-01-09,41669.30859,42760.64763,41322.06436,42545.68691,18013600
2018-01-10,40379.53516,41768.5118,40214.18079,41751.97636,18566800
2018-01-11,39883.47266,40726.77991,39701.58286,39850.40178,25123800
2018-01-12,39850.41016,40081.90631,38659.85848,39883.48104,27270450
2018-01-15,40131.50781,40495.28745,39618.90924,40346.46851,10096000
2018-01-16,41338.59766,41454.34573,40197.65236,40313.40043,20389650
2018-01-17,41024.42578,41355.13457,40561.43347,41355.13457,11053050
2018-01-18,41255.92969,41867.74107,41189.78792,41355.14234,14848850
2018-01-19,40776.39453,41652.77284,40544.89837,41652.77284,9219950
2018-01-22,39883.47266,40247.25226,39651.97655,40214.18138,12520900
2018-01-23,40644.10156,40644.10156,39933.07782,40230.71566,13532700
2018-01-24,40792.92969,41090.5676,40148.04754,40396.07914,9550500
2018-01-25,41553.5625,41636.2397,40644.11326,40693.71958,11160350
2018-01-26,41983.48438,41983.48438,41206.31865,41751.9882,10350100
2018-01-29,42347.25781,42562.21851,42082.6908,42330.72237,11838800
2018-01-30,41173.24609,41867.73458,41156.71065,41702.38018,12284550
2018-01-31,41255.92969,44761.44355,41007.89805,41355.14234,64681300
2018-02-01,41189.76953,42132.28935,41107.09235,41851.18695,27609450
2018-02-02,39437.01953,40842.53176,39437.01953,40825.99632,29260350
2018-02-05,39618.91406,39949.62286,38031.51183,38444.89783,28357900
2018-02-06,39205.53125,39618.91728,38511.04272,38527.57816,19406450
2018-02-07,37866.15234,39900.01118,37866.15234,39883.47574,23448050
2018-02-08,38031.52344,38544.12223,38014.98799,38130.73611,23251050
2018-02-09,36956.71484,37353.56547,36725.21864,36741.75409,17465000
2018-02-12,37800.00391,38296.06695,37237.79912,37287.40543,15754950
2018-02-13,39304.74219,39734.66364,38196.86767,38196.86767,18923250
2018-02-14,40511.82813,40594.50533,39635.4498,39751.19788,18905900
2018-02-19,39999.23438,41173.25076,39569.31288,41173.25076,15353450
2018-02-20,39188.99219,39817.3389,39040.17323,39718.12626,10122600
2018-02-21,39089.78125,39337.81286,38726.00156,39089.78125,12880200
2018-02-22,38659.84375,39073.22959,38659.84375,39073.22959,8869950
2018-02-23,39040.17578,39519.70357,38659.86064,38659.86064,12423300
2018-02-26,39172.46094,39321.27991,38924.42931,39089.78373,9560650
2018-02-27,39172.46094,39999.23301,39172.46094,39982.69757,9830550
2018-02-28,38907.89063,39767.73351,38858.2843,39172.45767,15162350
2018-03-02,38048.05078,38692.933,38031.51534,38511.04314,13265500
2018-03-05,37370.09766,38163.79885,37270.88501,37882.69634,14100950
2018-03-06,38874.82031,38940.96207,37882.69389,37965.37109,15423350
2018-03-07,40197.65234,40429.14849,39040.17161,39850.40812,21427050
2018-03-08,40677.17578,40908.6719,39751.19129,40677.17578,19463650
2018-03-09,41123.64063,41785.05825,40710.25461,40875.60902,14304400
2018-03-12,41123.64063,41983.48353,40991.3571,41801.59369,8688950
2018-03-13,42711.04297,42711.04297,41636.23933,41966.94814,20098700
2018-03-14,42793.71875,42992.14403,42165.37203,42181.90747,12713250
2018-03-15,42611.82422,43008.67474,42181.90283,42992.1393,8882450
2018-03-16,42281.125,42512.62119,41537.03011,42347.26677,12184900
2018-03-19,41950.41016,42446.47334,41702.37856,41851.19752,8218850
2018-03-20,42330.71875,42330.71875,41421.26971,41917.33282,8193250
2018-03-21,42214.97656,42810.25238,42214.97656,42810.25238,8905200
2018-03-22,42810.25391,42810.25391,42198.44263,42214.97807,8454100
2018-03-23,41107.10156,41933.87352,41007.88893,41619.70017,14854950
2018-03-26,41570.08984,41570.08984,40544.89272,40859.06603,10057750
2018-03-27,41322.06641,41718.91698,40577.97157,41603.1689,11874000
2018-03-28,40263.80078,40594.50962,39966.16283,40594.50962,15159450
2018-03-29,40841.77344,41274.84281,40242.13892,40558.61269,10067000
2018-03-30,40991.67578,41557.99719,40875.0802,40875.0802,7777100
2018-04-02,40425.35938,40991.68085,40392.04635,40808.4592,7115650
2018-04-03,40075.57422,40092.23073,39376.0006,39875.69604,12768250
2018-04-04,39076.17969,40192.16606,39076.17969,40108.8835,12384200
2018-04-05,40591.9375,41124.94612,39425.98115,39475.95071,13245600
2018-04-06,40308.75391,40458.6625,39475.92841,39975.62371,12532700
2018-04-09,40975.02734,41174.90553,40142.20158,40192.17113,9950400
2018-04-10,40708.51953,40991.68026,40008.94596,40425.3588,10984350
2018-04-11,40691.87109,41558.00998,40475.33637,41558.00998,10051100
2018-04-12,40808.46094,41174.90426,40708.52185,41174.90426,12466250
2018-04-13,41474.72266,41791.19644,41141.59235,41308.15751,10278300
2018-04-16,41924.45313,42140.98785,41524.69672,41907.79661,7877450
2018-04-17,41624.64063,42091.02315,41491.38847,41841.17537,7772000
2018-04-18,42773.93359,42773.93359,42124.32946,42474.1163,13462600
2018-04-19,43956.55078,44123.11596,42923.84667,43306.94658,17190550
2018-04-20,42990.46875,43523.47727,42823.90359,43140.3774,11761000
2018-04-23,43223.65625,43373.56488,42474.11308,42474.11308,11619000
2018-04-24,42024.38672,43190.34275,41707.91294,43173.68624,15770300
2018-04-25,41974.41406,42057.69663,40991.67977,40991.67977,16614600
2018-04-26,43423.53125,43440.18776,41974.41456,41991.07107,18046550
2018-04-27,44139.75391,44672.76226,43673.3716,44456.22761,30310800
2018-04-30,44139.75391,44139.75391,44139.75391,44139.75391,0
2018-05-02,44139.75391,44139.75391,44139.75391,44139.75391,0
2018-05-03,44139.75391,44139.75391,44139.75391,44139.75391,0
2018-05-04,43223.65625,44889.30774,43140.37368,44139.76457,39565391
2018-05-08,43806.64453,44306.3401,43223.66637,43806.64453,23104720
2018-05-09,42390.83203,43973.20101,42390.83203,43806.63585,16128305
2018-05-10,42973.81641,43057.099,42140.99051,43057.099,13905263
2018-05-11,42723.96484,43473.50809,42640.68226,43306.94292,10314997
2018-05-14,41724.58203,42557.40802,41558.01683,42474.12542,14909272
2018-05-15,40975.02734,41974.41825,40891.74477,41807.8531,18709146
2018-05-16,41516.35938,41807.84836,40933.38141,40975.02269,15918683
2018-05-17,41141.58203,42057.69013,41141.58203,41891.12502,10365440
2018-05-18,41224.87109,41558.00137,41099.94724,41558.00137,6706570
2018-05-21,41641.28516,41807.8503,40891.74202,41349.79616,9020998
2018-05-23,43140.37891,43306.94408,41974.42272,42140.98789,17095490
2018-05-24,42807.25,43306.94553,42557.40224,43306.94553,8289275
2018-05-25,43889.91797,43973.20055,42307.54901,42474.11416,15207266
2018-05-28,43556.78125,44139.7592,43306.93356,43723.34638,9787820
2018-05-29,42723.96484,43723.35583,42723.96484,43473.50809,8480437
2018-05-30,41224.87109,42890.52245,40891.74082,42723.95732,20498098
2018-05-31,42224.26563,42307.5482,41516.36374,41974.4179,63491109
2018-06-01,42723.96484,43057.09517,41599.64998,42057.70418,13038499
2018-06-04,42557.39844,42640.68102,42224.26812,42307.5507,9767171
2018-06-05,42723.96484,42807.24743,41974.4216,42557.39968,9144100
2018-06-07,42140.98828,43140.37931,42057.7057,43140.37931,13590016
2018-06-08,41349.80078,41974.42013,41308.15949,41807.85497,16951706
2018-06-11,41558.01172,41891.14207,41099.95748,41433.08784,10571312
2018-06-12,41141.58203,41474.71225,41016.6582,41391.4297,12110569
2018-06-14,40142.20703,40808.46773,40142.20703,40808.46773,20971729
2018-06-15,39684.14844,40558.61551,39684.14844,40392.05035,17080892
2018-06-18,38809.67969,39684.14672,38476.54939,39642.50543,16661870
2018-06-19,39142.82031,39434.3094,38726.40733,39309.38551,15217971
2018-06-20,39142.82031,39642.51589,39017.89642,39517.592,12959316
2018-06-21,39184.44922,39892.35106,39184.44922,39892.35106,10015541
2018-06-22,39351.01953,39351.01953,38476.55243,39142.81308,10298006
2018-06-25,38851.32422,39184.45454,38434.91131,39184.45454,10587711
2018-06-26,39142.82031,39392.6681,38226.71175,38226.71175,11223166
2018-06-27,39934,40392.05422,39142.81543,39517.58707,15274752
2018-06-28,39266.12891,39559.78585,39098.32494,39308.0799,12784800
2018-06-29,39140.28516,39559.79518,38762.72614,38804.67714,14099635
2018-07-02,38217.35938,39559.79132,38175.40838,39014.42834,13112253
2018-07-03,38720.76953,38972.47551,38385.16156,38385.16156,10959655
2018-07-04,38804.67578,39475.89179,38636.87178,39182.23479,8776763
2018-07-05,38552.96875,39056.38075,38259.31175,38678.82175,7039773
2018-07-06,37672,38469.06904,37462.24499,38175.41203,17843706
2018-07-09,38259.3125,38678.82251,37923.7045,38175.4105,11602464
2018-07-10,38846.62891,39056.38392,38678.82489,38762.7269,10528665
2018-07-11,38594.92188,38972.48089,38091.50985,38930.52989,11224077
2018-07-12,38175.41406,38804.67913,38133.46306,38511.0221,11828104
2018-07-13,39014.43359,39014.43359,38385.16854,38427.11954,11543389
2018-07-16,38636.86719,39266.13213,38594.91619,39266.13213,7678719
