Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2022-01-04,72762.8828125,73225.16288119441,72393.05875754447,72855.33882623888,12427416
2022-01-05,71560.9375,73040.23336563307,70636.37758397932,72855.32138242894,25470640
2022-01-06,71098.65625,71745.84817945384,70821.28828023406,70913.74427015605,12931954
2022-01-07,72393.0703125,72485.52634099618,71560.96605603448,72208.15825550766,15163757
2022-01-10,72115.6875,72208.14350961539,71283.58341346154,72208.14350961539,9947422
2022-01-11,72947.78125,73040.23724651457,72115.67728136881,72485.50126742713,13221123
2022-01-12,72947.78125,73594.97322560202,72670.41326045628,73502.51722908745,11000502
2022-01-13,72023.2265625,73317.61060855264,72023.2265625,73317.61060855264,13889401
2022-01-14,71468.484375,72208.13233748382,71283.57238437905,71838.30835624192,10096725
2022-01-17,71653.390625,71930.75858870968,71098.65469758066,71745.84661290323,8785122
2022-01-18,71191.125,71930.77305194805,70821.30097402597,71745.86103896104,9592788
2022-01-19,70543.9375,71098.67357470511,70359.0254750983,70728.8495249017,10598290
2022-01-20,70728.8359375,70913.74792687909,70174.09996936275,70451.46795343138,9708168
2022-01-21,69896.7421875,70081.65420386905,69064.63811383929,70081.65420386905,15774888
2022-01-24,69434.453125,70081.6450982024,69064.62914031291,69711.82111351531,13691134
2022-01-25,68417.453125,69342.01330236487,67677.8049831081,69157.10126689188,17766704
2022-01-26,68417.453125,68417.453125,68417.453125,68417.453125,0
2022-01-27,65921.140625,68417.45310308556,65921.140625,68232.54106767182,22274777
2022-01-28,67770.265625,68140.08972118009,65828.68912005458,65921.14514409959,21367447
2022-02-03,67770.265625,69249.56200972034,67770.265625,69249.56200972034,17744721
2022-02-04,68417.453125,68972.18923141892,67862.71701858108,68694.82117820946,12730034
2022-02-07,67492.8984375,68047.6345890411,66938.16228595891,67955.17856378425,14240838
2022-02-08,67492.8984375,67492.8984375,67492.8984375,67492.8984375,0
2022-02-09,67492.8984375,67492.8984375,67492.8984375,67492.8984375,0
2022-02-10,69711.8203125,70081.64429293766,69064.62834673408,69896.73230271882,17746033
2022-02-11,69249.5546875,69804.29077311415,68972.18664469292,69342.01070176903,12205407
2022-02-14,68140.078125,68879.72619148575,67585.34207513569,68787.27018317503,13993255
